,com.babytree.apps.pregnancy,6.6.1
页面名称,Activity,StartTime,EndTime,TotalTime(ms)
1,启动页面,MainActivity,2016-05-20 17:34:32.434,2016-05-20 17:34:35.594,3160
2,主页面,SailfishActivity,2016-05-20 17:34:39.234,2016-05-20 17:34:40.074,840
3,登录页面,LoginActivity,2016-05-20 17:35:30.994,2016-05-20 17:35:31.304,310
4,宝宝树推荐,RecommendActivity,2016-05-20 17:34:46.524,2016-05-20 17:34:46.804,280
5,他人信息页,CenterActivity,2016-05-20 17:35:02.244,2016-05-20 17:35:02.644,400
6,消息,MessageCenterActivity,2016-05-20 17:35:11.494,2016-05-20 17:35:11.774,280
7,发帖,TopicPostActivity,2016-05-20 17:35:06.234,2016-05-20 17:35:06.474,240
8,帮页面,NewTopicListActivity,2016-05-20 17:34:57.134,2016-05-20 17:34:57.344,210
9,帖子详情页,TopicDetailActivity,2016-05-20 17:35:00.214,2016-05-20 17:35:00.514,300
10,收藏,MyFavoritesActivity,2016-05-20 17:36:07.674,2016-05-20 17:36:07.914,240
11,我的帖子,PostTopicListActivity,2016-05-20 17:36:02.284,2016-05-20 17:36:02.444,160
12,关注,FollowerAndFunsActivity,2016-05-20 17:36:12.214,2016-05-20 17:36:12.404,190
13,粉丝,FollowerAndFunsActivity,2016-05-20 17:36:12.214,2016-05-20 17:36:12.404,190
14,设置页面,SettingActivity,2016-05-20 17:35:26.374,2016-05-20 17:35:26.694,320
