,com.yaya.mmbang,3.12.3
页面名称,Activity,StartTime,EndTime,TotalTime(ms)
1,启动页面,SplashActivity,2016-05-20 17:26:23.234,2016-05-20 17:26:23.654,420
2,主页面,MainActivity,2016-05-20 17:26:28.214,2016-05-20 17:26:29.284,1070
3,登录页面,ActivityLogin,2016-05-20 17:26:31.884,2016-05-20 17:26:32.064,180
4,推荐关注,RecommendFollowActivity,2016-05-20 17:27:16.024,2016-05-20 17:27:16.134,110
5,他人信息页,PersonalActivity,2016-05-20 17:27:00.814,2016-05-20 17:27:00.984,170
6,消息页面,BangMessageActivity,2016-05-20 17:27:05.064,2016-05-20 17:27:05.214,150
7,发帖页面,CreateTopicInputActivity,2016-05-20 17:26:57.534,2016-05-20 17:26:57.754,220
8,具体帮页面,BangItemListActivity,2016-05-20 17:26:42.654,2016-05-20 17:26:42.804,150
9,帖子详情页,TopicDetailListActivity,2016-05-20 17:31:23.404,2016-05-20 17:31:23.594,190
10,收藏页面,BangItemListActivity,2016-05-20 17:26:42.654,2016-05-20 17:26:42.804,150
11,我的帖子页面,BangItemListActivity,2016-05-20 17:26:42.654,2016-05-20 17:26:42.804,150
12,关注页面,FriendsActivity,2016-05-20 17:26:38.414,2016-05-20 17:26:38.574,160
13,粉丝页面,FriendsActivity,2016-05-20 17:26:38.414,2016-05-20 17:26:38.574,160
14,设置页面,SettingActivity,2016-05-20 17:29:06.624,2016-05-20 17:29:06.764,140
