Time,Activity,PSS_Dalvik,PSS_Native,PSS_Total,CPU_cpuinfo,CPU_top,RX_bytes,TX_bytes,BatteryLevel
2016-05-25 09:42:34,,,,,,13%,0,0,97
2016-05-25 09:42:37,MainActivity,813,3554,14400,0%,26%,3584,3582,97
2016-05-25 09:42:40,MainActivity,11235,27514,69072,0%,14%,13434,19739,97
2016-05-25 09:42:43,MainActivity,6423,19405,70616,103%,25%,22727,27444,97
2016-05-25 09:42:46,MainActivity,19083,26250,70580,103%,13%,25046,29661,97
2016-05-25 09:42:49,activity.RoleSelectActivity,24473,20075,71524,103%,24%,32366,34470,97
2016-05-25 09:42:52,activity.RoleSelectActivity,24518,21245,69576,103%,0%,40332,39300,97
2016-05-25 09:42:55,activity.RoleSelectActivity,22674,21361,69724,92%,0%,49402,52947,97
2016-05-25 09:42:58,activity.RoleSelectActivity,22674,21577,70064,92%,1%,273816,195607,97
2016-05-25 09:43:01,activity.RoleSelectActivity,22795,21459,58420,57%,3%,389799,240683,97
