Time,Activity,PSS_Dalvik,PSS_Native,PSS_Total,CPU_cpuinfo,CPU_top,RX_bytes,TX_bytes,Folw_bytes,BatteryLevel
2016-05-26 16:33:12,MainActivity,7120,0,11164,,23%,0,0,0,93
2016-05-26 16:33:15,MainActivity,6128,0,9976,0%,23%,164,5585,5749,93
2016-05-26 16:33:18,activity.IntroduceActivity,8356,0,38788,0%,18%,233153,17383,250536,93
2016-05-26 16:33:21,activity.RoleSelectActivity,8052,0,40716,107%,0%,455044,24028,479072,93
2016-05-26 16:33:24,activity.SexSelectActivity,7936,0,46360,107%,30%,476289,30664,506953,93
2016-05-26 16:33:27,activity.SexSelectActivity,7920,0,46332,68%,0%,479677,34552,514229,93
2016-05-26 16:33:30,activity.SexSelectActivity,7920,0,46320,68%,4%,479677,34552,514229,93
2016-05-26 16:33:33,activity.SexSelectActivity,7880,0,45628,32%,9%,494017,41078,535095,93
2016-05-26 16:33:36,activity.SexSelectActivity,7716,0,34248,32%,0%,499056,47419,546475,93
2016-05-26 16:33:39,activity.RoleSelectActivity,7712,0,34248,32%,0%,499715,48060,547775,93
2016-05-26 16:33:42,activity.RoleSelectActivity,7696,0,34204,37%,0%,518247,53394,571641,93
2016-05-26 16:33:45,activity.CalculatorActivity,7668,0,34140,37%,11%,519252,54643,573895,93
2016-05-26 16:33:48,activity.CalculatorActivity,7648,0,40584,26%,0%,535167,56117,591284,93
2016-05-26 16:33:51,activity.CalculatorActivity,7648,0,40584,26%,4%,541277,57559,598836,93
2016-05-26 16:33:54,activity.CalculatorActivity,7644,0,40564,23%,0%,541277,57559,598836,93
2016-05-26 16:33:57,activity.CalculatorActivity,7632,0,40556,23%,4%,541277,57919,599196,93
2016-05-26 16:34:00,activity.CalculatorActivity,7632,0,40556,21%,4%,541277,57919,599196,93
2016-05-26 16:34:04,activity.RoleSelectActivity,7616,0,33984,21%,4%,541598,59320,600918,93
2016-05-26 16:34:07,activity.RoleSelectActivity,7616,0,33984,21%,0%,541598,59320,600918,93
2016-05-26 16:34:10,activity.RoleSelectActivity,7616,0,33984,21%,0%,541598,59320,600918,93
2016-05-26 16:34:13,activity.RoleSelectActivity,7616,0,33984,21%,0%,541598,59320,600918,93
2016-05-26 16:34:16,activity.RoleSelectActivity,7604,0,44052,24%,3%,559375,61135,620510,93
2016-05-26 16:34:19,activity.SexSelectActivity,7604,0,44052,24%,0%,559464,61187,620651,93
2016-05-26 16:34:22,activity.BirthdaySelectActivity,7596,0,41264,33%,11%,559648,61431,621079,93
2016-05-26 16:34:25,activity.BirthdaySelectActivity,7520,0,48640,33%,30%,559828,64858,624686,93
2016-05-26 16:34:28,activity.SexSelectActivity,7512,0,48720,34%,2%,559828,64858,624686,93
2016-05-26 16:34:31,activity.SexSelectActivity,7460,0,48668,32%,4%,559828,64918,624746,93
2016-05-26 16:34:34,activity.SexSelectActivity,7460,0,48668,32%,0%,560024,65114,625138,93
2016-05-26 16:34:37,activity.BirthdaySelectActivity,7460,0,44980,32%,0%,560493,66562,627055,93
2016-05-26 16:34:40,activity.BirthdaySelectActivity,7460,0,48656,32%,0%,560823,70858,631681,93
2016-05-26 16:34:43,activity.SexSelectActivity,7460,0,48664,25%,0%,560823,71338,632161,93
2016-05-26 16:34:46,activity.RoleSelectActivity,7460,0,33808,25%,0%,560983,71534,632517,93
2016-05-26 16:34:49,activity.CalculatorActivity,7460,0,41300,25%,0%,579420,75305,654725,93
2016-05-26 16:34:52,activity.CalculatorActivity,7460,0,48656,37%,0%,579420,75305,654725,93
2016-05-26 16:34:55,activity.SailfishActivity,7436,0,48400,21%,8%,596328,85068,681396,93
2016-05-26 16:34:58,activity.SailfishActivity,7216,0,33656,21%,25%,643867,114010,757877,93
2016-05-26 16:35:01,activity.SailfishActivity,7192,0,33520,21%,25%,779638,130376,910014,93
2016-05-26 16:35:04,activity.SailfishActivity,7124,0,33432,131%,9%,1011615,146755,1158370,93
2016-05-26 16:35:07,activity.SailfishActivity,7116,0,33400,51%,0%,1526330,164736,1691066,93
2016-05-26 16:35:10,om.meitun.mama.ui.HomeActivity,7032,0,26452,51%,27%,2355385,193210,2548595,93
2016-05-26 16:35:13,om.meitun.mama.ui.HomeActivity,6836,0,37044,71%,33%,2782621,223426,3006047,93
2016-05-26 16:35:16,om.meitun.mama.ui.HomeActivity,6772,0,51680,71%,32%,3311973,255445,3567418,93
2016-05-26 16:35:19,om.babytree.platform.ui.activity.ShareActivity,6552,0,36860,102%,21%,3575104,280580,3855684,93
2016-05-26 16:35:22,om.meitun.mama.ui.CommonActivity,6552,0,30404,102%,2%,3879693,301530,4181223,93
2016-05-26 16:35:25,om.meitun.mama.ui.goods.GoodsDetailActivityNew,6528,0,30360,88%,3%,3914528,309441,4223969,93
2016-05-26 16:35:28,om.meitun.mama.ui.goods.GoodsDetailActivityNew,6528,0,30360,50%,0%,3975982,313917,4289899,93
2016-05-26 16:35:31,om.meitun.mama.ui.goods.GoodsDetailActivityNew,6528,0,30360,50%,3%,4009147,318980,4328127,93
2016-05-26 16:35:34,om.meitun.mama.ui.goods.GoodsDetailActivityNew,6528,0,30356,37%,2%,4184624,339574,4524198,93
2016-05-26 16:35:37,om.meitun.mama.ui.goods.GoodsDetailActivityNew,6524,0,33484,37%,3%,4480310,364992,4845302,93
2016-05-26 16:35:40,om.meitun.mama.ui.goods.GoodsDetailActivityNew,6524,0,33488,37%,20%,4934367,397758,5332125,93
2016-05-26 16:35:43,activity.LoginActivity,6492,0,44924,37%,2%,5115589,425483,5541072,93
2016-05-26 16:35:46,activity.LoginActivity,6492,0,44924,55%,0%,5116211,426011,5542222,93
2016-05-26 16:35:49,activity.LoginActivity,6492,0,44924,55%,0%,5116311,427663,5543974,93
2016-05-26 16:35:52,activity.LoginActivity,6492,0,44924,55%,0%,5116311,427723,5544034,93
2016-05-26 16:35:55,activity.LoginActivity,6492,0,33436,41%,0%,5116648,428864,5545512,93
2016-05-26 16:35:58,om.meitun.mama.ui.HomeActivity,6492,0,42848,41%,4%,5131277,434545,5565822,93
2016-05-26 16:36:01,om.meitun.mama.ui.HomeActivity,6460,0,46508,53%,3%,5131277,434605,5565882,93
