Time,Activity,PSS_Dalvik,PSS_Native,PSS_Total,CPU_cpuinfo,CPU_top,RX_bytes,TX_bytes,BatteryLevel
2016-05-25 16:22:49,activity.SplashActivity,4954,15610,19556,0%,0%,5304,7224,100
2016-05-25 16:22:52,activity.MainActivity,9864,16101,32796,0%,0%,196226,20857,100
2016-05-25 16:22:55,activity.WebViewLinkActivity,10791,28800,122608,61%,0%,327239,44699,100
2016-05-25 16:22:58,FileExplorerTabActivity,10731,29056,122452,61%,0%,327359,44879,100
2016-05-25 16:23:01,FileExplorerTabActivity,10723,29064,122456,43%,0%,327399,44919,100
2016-05-25 16:23:04,FileExplorerTabActivity,9463,29076,121284,43%,0%,327399,45139,100
2016-05-25 16:23:07,activity.WebViewLinkActivity,9675,29260,121480,43%,0%,333083,47098,100
2016-05-25 16:23:10,activity.WebViewLinkActivity,9763,29240,121444,27%,0%,333083,47098,100
2016-05-25 16:23:13,activity.WebViewLinkActivity,9799,28896,121536,27%,7%,343568,54536,100
2016-05-25 16:23:16,activity.WebViewLinkActivity,10035,30420,133804,36%,13%,357174,77933,100
2016-05-25 16:23:19,activity.WebViewLinkActivity,10015,30772,128888,36%,0%,359606,91089,100
2016-05-25 16:23:22,activity.WebViewLinkActivity,10011,30036,125476,57%,5%,361773,97068,100
2016-05-25 16:23:25,activity.WebViewLinkActivity,9875,30012,125940,57%,0%,361813,97108,100
2016-05-25 16:23:29,activity.WebViewLinkActivity,9891,30424,127344,50%,8%,438013,113221,100
2016-05-25 16:23:32,activity.WebViewLinkActivity,9967,30564,128252,50%,13%,490244,123506,100
2016-05-25 16:23:35,activity.WebViewLinkActivity,10095,30876,129640,50%,5%,495186,133644,100
2016-05-25 16:23:38,activity.WebViewLinkActivity,9923,30980,129136,50%,0%,495617,134663,100
2016-05-25 16:23:41,activity.WebViewLinkActivity,9927,31016,128960,50%,0%,495617,134663,100
2016-05-25 16:23:44,activity.WebViewLinkActivity,9787,30892,129416,50%,0%,495737,134983,100
2016-05-25 16:23:47,activity.WebViewLinkActivity,10403,31080,129124,50%,4%,495737,134983,100
2016-05-25 16:23:50,activity.WebViewLinkActivity,9867,31056,129256,50%,0%,496823,143898,99
2016-05-25 16:23:53,activity.WebViewLinkActivity,9895,31020,129200,50%,0%,496934,143978,99
2016-05-25 16:23:56,activity.WebViewLinkActivity,9843,31196,128892,29%,8%,497045,144058,99
2016-05-25 16:23:59,activity.WebViewLinkActivity,10079,30868,131108,29%,0%,502181,155701,99
2016-05-25 16:24:02,activity.WebViewLinkActivity,9919,30956,130444,29%,0%,502572,157083,99
2016-05-25 16:24:05,activity.WebViewLinkActivity,9927,30852,130672,37%,0%,502572,157083,99
2016-05-25 16:24:08,activity.WebViewLinkActivity,9831,31056,130460,37%,0%,502652,157203,99
2016-05-25 16:24:11,activity.WebViewLinkActivity,9851,31084,130752,37%,1%,502652,163843,99
2016-05-25 16:24:14,parenting.TemForeNotificationActivity,60526,35464,103740,37%,0%,525716,170250,99
2016-05-25 16:24:17,activity.WebViewLinkActivity,37454,35368,147980,55%,9%,608841,189023,99
2016-05-25 16:24:20,activity.WebViewLinkActivity,32302,35540,148628,55%,0%,609280,190623,99
2016-05-25 16:24:23,activity.WebViewLinkActivity,32326,35528,167392,55%,0%,609320,190663,99
2016-05-25 16:24:26,activity.WebViewLinkActivity,32326,35916,167192,35%,0%,609320,190663,99
2016-05-25 16:24:29,activity.WebViewLinkActivity,32290,35696,167232,35%,13%,609471,191952,99
2016-05-25 16:24:32,activity.WebViewLinkActivity,32310,35896,167760,36%,14%,611728,196988,99
2016-05-25 16:24:35,activity.WebViewLinkActivity,32310,36164,171212,36%,0%,611728,196988,99
2016-05-25 16:24:38,activity.WebViewLinkActivity,32286,35832,171024,36%,0%,611728,196988,99
2016-05-25 16:24:41,activity.WebViewLinkActivity,32298,35736,171212,29%,0%,612125,198209,99
2016-05-25 16:24:44,activity.WebViewLinkActivity,32298,35728,171464,29%,1%,612562,199470,99
2016-05-25 16:24:47,activity.WebViewLinkActivity,32298,36024,189880,29%,3%,613094,199762,99
2016-05-25 16:24:50,activity.WebViewLinkActivity,32286,36256,194336,38%,0%,613888,202364,99
2016-05-25 16:24:53,activity.WebViewLinkActivity,32298,36400,194812,38%,0%,614285,203585,99
2016-05-25 16:24:56,activity.WebViewLinkActivity,32298,36592,189660,38%,2%,614325,203625,99
2016-05-25 16:24:59,activity.WebViewLinkActivity,32298,36412,189832,38%,0%,614722,204846,99
2016-05-25 16:25:02,activity.WebViewLinkActivity,32298,36376,189732,38%,0%,615081,205082,99
2016-05-25 16:25:05,activity.WebViewLinkActivity,32298,36616,189940,40%,0%,615478,206303,99
2016-05-25 16:25:08,activity.WebViewLinkActivity,32302,36580,190064,40%,0%,616280,209926,99
2016-05-25 16:25:11,activity.WebViewLinkActivity,32286,36352,189976,40%,2%,617050,211187,99
2016-05-25 16:25:14,activity.WebViewLinkActivity,32298,36416,190024,40%,0%,617050,211187,99
2016-05-25 16:25:17,activity.WebViewLinkActivity,32298,36280,190324,42%,6%,617415,212424,99
2016-05-25 16:25:20,activity.WebViewLinkActivity,32298,36628,190780,42%,0%,617780,213661,99
2016-05-25 16:25:23,activity.WebViewLinkActivity,32298,36576,190580,42%,0%,618510,216135,99
2016-05-25 16:25:26,activity.WebViewLinkActivity,32298,35948,190020,42%,0%,618510,216135,99
2016-05-25 16:25:29,activity.WebViewLinkActivity,32298,35932,189884,42%,0%,618875,217372,99
2016-05-25 16:25:32,activity.WebViewLinkActivity,32286,35820,190168,42%,9%,619280,218609,99
2016-05-25 16:25:35,activity.WebViewLinkActivity,32298,36380,191060,39%,3%,620463,224289,99
2016-05-25 16:25:39,activity.WebViewLinkActivity,32298,37028,191540,39%,3%,621891,226418,99
2016-05-25 16:25:42,activity.WebViewLinkActivity,32482,36628,191312,39%,3%,621891,226418,99
2016-05-25 16:25:45,activity.WebViewLinkActivity,32478,36800,191428,44%,0%,622621,228892,99
2016-05-25 16:25:48,activity.WebViewLinkActivity,32478,36648,191600,44%,0%,622621,228892,99
2016-05-25 16:25:51,activity.WebViewLinkActivity,32478,36992,191812,44%,1%,622621,228892,99
2016-05-25 16:25:54,activity.WebViewLinkActivity,32462,36828,191528,44%,0%,622986,231366,99
2016-05-25 16:25:57,activity.WebViewLinkActivity,32478,36908,191880,56%,0%,623351,231366,99
2016-05-25 16:26:00,activity.WebViewLinkActivity,32478,36716,191980,56%,0%,624081,233840,99
2016-05-25 16:26:03,activity.WebViewLinkActivity,32478,36892,192156,60%,0%,624081,233840,99
2016-05-25 16:26:06,activity.WebViewLinkActivity,32474,36848,191992,60%,0%,624081,233840,99
2016-05-25 16:26:09,activity.WebViewLinkActivity,32474,36860,192336,60%,0%,624712,235237,99
2016-05-25 16:26:12,activity.WebViewLinkActivity,32474,37248,192572,60%,0%,625077,236474,99
2016-05-25 16:26:15,activity.WebViewLinkActivity,32462,37100,192352,38%,0%,625442,237711,99
2016-05-25 16:26:18,activity.WebViewLinkActivity,32474,36952,192552,38%,1%,626617,241422,99
