Time,Activity,PSS_Dalvik,PSS_Native,PSS_Total,CPU_cpuinfo,CPU_top,RX_bytes,TX_bytes,BatteryLevel
2016-05-24 10:34:39,,,,2516,,8%,1790,1790,100
2016-05-24 10:34:42,activity.SplashActivity,6674,10420,20708,,0%,1790,1790,100
2016-05-24 10:34:45,activity.SplashActivity,5822,10888,20476,0%,0%,1790,1790,100
2016-05-24 10:34:48,activity.SplashActivity,5670,11144,20468,0%,0%,1790,1790,100
2016-05-24 10:34:51,activity.SplashActivity,5682,11113,20420,0%,0%,1894,1998,100
2016-05-24 10:34:54,activity.SplashActivity,5682,11281,30676,0%,0%,1946,2154,100
2016-05-24 10:34:57,activity.SplashActivity,5609,12469,21688,0%,0%,1946,2154,100
2016-05-24 10:35:00,activity.SplashActivity,5629,12385,21988,23%,0%,1946,2154,100
2016-05-24 10:35:03,activity.SplashActivity,5625,12313,21844,23%,0%,1946,2154,100
2016-05-24 10:35:06,activity.SplashActivity,5670,12641,21692,23%,0%,1946,2154,100
2016-05-24 10:35:09,activity.SplashActivity,5634,12433,21664,23%,0%,1946,2154,100
2016-05-24 10:35:12,activity.SplashActivity,5658,12441,21712,23%,0%,1946,2154,100
2016-05-24 10:35:15,activity.SplashActivity,5658,12409,21732,23%,1%,1946,2154,100
2016-05-24 10:35:18,activity.SplashActivity,5658,12349,21900,23%,0%,1946,2154,100
2016-05-24 10:35:21,activity.SplashActivity,5650,12345,21696,23%,0%,1946,2154,100
2016-05-24 10:35:24,activity.SplashActivity,5658,12429,21828,23%,0%,1946,2154,100
2016-05-24 10:35:27,activity.SplashActivity,5658,12425,22024,23%,0%,1946,2154,100
2016-05-24 10:35:30,activity.SplashActivity,5662,12445,21820,23%,0%,1946,2154,100
2016-05-24 10:35:33,activity.SplashActivity,5634,12769,21820,23%,0%,1946,2154,100
2016-05-24 10:35:36,activity.SplashActivity,5646,12445,22048,23%,0%,1946,2154,100
2016-05-24 10:35:39,activity.SplashActivity,5650,12757,21892,23%,0%,1946,2154,100
2016-05-24 10:35:42,activity.SplashActivity,5658,12481,22056,20%,0%,1946,2154,100
2016-05-24 10:35:45,activity.SplashActivity,5634,12661,21664,20%,0%,1946,2154,100
2016-05-24 10:35:48,activity.SplashActivity,5646,12501,21836,20%,1%,1946,2154,100
2016-05-24 10:35:51,activity.SplashActivity,5646,12601,21828,20%,0%,1946,2154,100
2016-05-24 10:35:54,activity.SplashActivity,5646,12505,21824,22%,0%,1946,2154,100
2016-05-24 10:35:57,activity.SplashActivity,5634,12473,21836,22%,0%,1946,2154,100
2016-05-24 10:36:00,activity.SplashActivity,5650,12589,21716,22%,0%,1946,2154,100
2016-05-24 10:36:03,activity.SplashActivity,5658,12481,21900,22%,0%,1946,2154,100
2016-05-24 10:36:06,activity.SplashActivity,5658,12749,22012,20%,0%,1946,2154,100
2016-05-24 10:36:09,activity.SplashActivity,5650,12673,22088,20%,0%,1946,2154,100
2016-05-24 10:36:12,activity.SplashActivity,5658,12757,21908,20%,0%,1946,2154,100
2016-05-24 10:36:15,activity.SplashActivity,5658,12545,21968,20%,0%,1946,2154,100
2016-05-24 10:36:18,activity.SplashActivity,5658,12397,21888,20%,0%,1946,2154,100
2016-05-24 10:36:21,activity.SplashActivity,5634,12713,21932,20%,0%,1946,2154,100
2016-05-24 10:36:24,activity.SplashActivity,5623,12539,21764,20%,0%,1946,2154,100
2016-05-24 10:36:27,activity.SplashActivity,5623,12191,21824,20%,0%,1946,2154,100
2016-05-24 10:36:30,activity.SplashActivity,5628,12587,21744,19%,0%,1946,2154,100
