Time,Activity,PSS_Dalvik,PSS_Native,PSS_Total,CPU_cpuinfo,CPU_top,RX_bytes,TX_bytes,Folw_bytes,BatteryLevel
2016-05-26 16:15:05,activity.SplashActivity,5892,12,17460,0%,0%,0,0,0,93
2016-05-26 16:15:08,activity.SplashActivity,5872,12,17444,0%,0%,0,0,0,93
2016-05-26 16:15:11,activity.SplashActivity,5844,12,17432,0%,0%,0,0,0,93
2016-05-26 16:15:14,Launcher,,,,,,0,52,52,93
2016-05-26 16:15:17,Launcher,,,,,,0,52,52,93
2016-05-26 16:15:20,Launcher,6428,12,10312,0%,0%,2380,1478,3858,93
2016-05-26 16:15:23,Launcher,6416,12,10312,0%,0%,2380,1478,3858,93
2016-05-26 16:15:26,Launcher,6416,12,10312,0%,0%,2380,1478,3858,93
2016-05-26 16:15:29,activity.SplashActivity,6144,12,17096,0%,0%,2753,2914,5667,93
2016-05-26 16:15:32,activity.SplashActivity,5852,12,17072,14%,0%,2753,2914,5667,93
2016-05-26 16:15:35,activity.SplashActivity,5852,12,17072,14%,0%,3990,3524,7514,93
2016-05-26 16:15:38,activity.SplashActivity,5784,12,16980,14%,6%,5781,6242,12023,93
2016-05-26 16:15:41,activity.SplashActivity,5764,12,16980,18%,0%,5781,6242,12023,93
2016-05-26 16:15:44,activity.SplashActivity,5764,12,16980,18%,0%,5781,6242,12023,93
2016-05-26 16:15:47,activity.SplashActivity,5744,12,16960,12%,0%,7472,8743,16215,93
2016-05-26 16:15:50,activity.SplashActivity,5744,12,16960,12%,0%,7715,9240,16955,93
2016-05-26 16:15:53,activity.SplashActivity,5744,12,16960,13%,0%,7715,9240,16955,93
2016-05-26 16:15:56,activity.SplashActivity,5744,12,16960,13%,0%,7715,9240,16955,93
2016-05-26 16:15:59,activity.SplashActivity,5744,12,16960,13%,0%,7715,9240,16955,93
2016-05-26 16:16:02,activity.SplashActivity,5744,12,16960,14%,0%,7715,9240,16955,93
2016-05-26 16:16:05,activity.SplashActivity,5696,12,17256,14%,15%,18962,17389,36351,93
2016-05-26 16:16:08,login.NewbieProcessActivity,5556,8,13472,35%,0%,364958,46509,411467,93
2016-05-26 16:16:11,login.NewbieProcessActivity,5548,8,13472,53%,0%,366446,46601,413047,93
2016-05-26 16:16:14,login.NewbieProcessActivity,5548,8,13472,53%,0%,366446,46601,413047,93
2016-05-26 16:16:17,login.NewbieProcessActivity,5548,8,13472,53%,0%,366446,46601,413047,93
2016-05-26 16:16:20,login.NewbieProcessActivity,5548,8,13472,53%,0%,366571,46770,413341,93
2016-05-26 16:16:23,login.NewbieProcessActivity,5548,8,13660,26%,0%,366571,46770,413341,93
2016-05-26 16:16:26,login.NewbieProcessActivity,5548,8,13472,26%,0%,456233,51772,508005,93
2016-05-26 16:16:29,login.NewbieProcessActivity,5548,8,13472,22%,0%,456233,51772,508005,93
2016-05-26 16:16:32,login.NewbieProcessActivity,5544,8,17148,22%,0%,456897,53086,509983,93
2016-05-26 16:16:36,login.NewbieProcessActivity,5544,8,17148,22%,0%,456977,53166,510143,93
2016-05-26 16:16:39,login.NewbieProcessActivity,5540,8,17144,22%,0%,457537,55610,513147,93
2016-05-26 16:16:42,login.NewbieProcessActivity,5540,8,17144,22%,0%,457537,55610,513147,93
2016-05-26 16:16:45,login.NewbieProcessActivity,5540,8,17144,24%,0%,457537,55610,513147,93
2016-05-26 16:16:48,login.NewbieProcessActivity,5540,8,17144,24%,0%,457537,55610,513147,93
2016-05-26 16:16:51,login.NewbieProcessActivity,5540,8,17144,15%,0%,457537,55610,513147,93
2016-05-26 16:16:54,login.NewbieProcessActivity,5540,8,17144,15%,0%,457537,55610,513147,93
2016-05-26 16:16:57,login.NewbieProcessActivity,5532,8,17136,21%,0%,458201,56934,515135,93
2016-05-26 16:17:00,login.NewbieProcessActivity,5532,8,17132,21%,0%,458201,56934,515135,93
2016-05-26 16:17:03,login.NewbieProcessActivity,5512,8,17120,21%,0%,458201,56934,515135,93
2016-05-26 16:17:06,login.NewbieProcessActivity,5512,8,17120,24%,0%,458281,56934,515215,93
2016-05-26 16:17:09,login.NewbieProcessActivity,5512,8,17120,24%,0%,458281,56934,515215,93
2016-05-26 16:17:12,login.NewbieProcessActivity,5504,8,17112,24%,10%,458281,56934,515215,93
2016-05-26 16:17:15,login.NewbieProcessActivity,5492,8,24012,25%,0%,458281,56934,515215,93
2016-05-26 16:17:18,login.NewbieProcessActivity,5492,8,24020,25%,0%,458321,56934,515255,93
2016-05-26 16:17:21,login.NewbieProcessActivity,5492,8,17272,22%,0%,458321,56934,515255,93
2016-05-26 16:17:24,login.NewbieProcessActivity,5492,8,17124,22%,10%,458321,56934,515255,93
2016-05-26 16:17:27,login.NewbieProcessActivity,5484,8,21044,28%,3%,458401,56986,515387,93
2016-05-26 16:17:30,login.NewbieProcessActivity,5476,8,17120,28%,0%,458401,56986,515387,93
2016-05-26 16:17:33,login.NewbieProcessActivity,5476,8,17120,28%,0%,458401,56986,515387,93
2016-05-26 16:17:36,login.NewbieProcessActivity,5476,8,17120,20%,0%,458401,63356,521757,93
2016-05-26 16:17:39,login.NewbieProcessActivity,5476,8,17120,20%,0%,458453,63408,521861,93
2016-05-26 16:17:42,login.NewbieProcessActivity,5476,8,17120,20%,0%,458453,63408,521861,93
2016-05-26 16:17:45,login.NewbieProcessActivity,5476,8,17120,20%,0%,458453,63408,521861,93
2016-05-26 16:17:48,login.NewbieProcessActivity,5476,8,17120,20%,0%,458453,63408,521861,93
2016-05-26 16:17:51,login.NewbieProcessActivity,5476,8,17120,20%,0%,458453,63408,521861,93
2016-05-26 16:17:54,login.NewbieProcessActivity,5476,8,17120,20%,0%,459301,64922,524223,93
2016-05-26 16:17:57,login.NewbieProcessActivity,5476,8,17120,20%,0%,459965,66236,526201,93
2016-05-26 16:18:00,login.NewbieProcessActivity,5476,8,24016,23%,0%,459965,66236,526201,93
2016-05-26 16:18:03,login.NewbieProcessActivity,5476,8,27420,23%,4%,459965,66236,526201,93
2016-05-26 16:18:06,login.NewbieProcessActivity,5476,8,27424,23%,5%,459965,66236,526201,93
2016-05-26 16:18:09,login.NewbieProcessActivity,5476,8,17128,28%,3%,459965,66236,526201,93
2016-05-26 16:18:12,login.NewbieProcessActivity,5476,8,17128,22%,0%,459965,66236,526201,93
2016-05-26 16:18:15,login.NewbieProcessActivity,5476,8,17128,22%,0%,460629,67560,528189,93
2016-05-26 16:18:18,login.NewbieProcessActivity,5476,8,17128,15%,0%,460629,67560,528189,93
2016-05-26 16:18:21,login.NewbieProcessActivity,5476,8,17128,15%,0%,461106,69730,530836,93
2016-05-26 16:18:24,login.NewbieProcessActivity,5476,8,21048,29%,0%,461106,69730,530836,93
2016-05-26 16:18:28,login.NewbieProcessActivity,5476,8,17136,29%,4%,461106,69730,530836,93
2016-05-26 16:18:31,login.NewbieProcessActivity,5476,8,17284,29%,0%,461106,69730,530836,93
2016-05-26 16:18:34,login.NewbieProcessActivity,5476,8,17136,29%,0%,461106,69730,530836,93
